TIGR00001;rpmI_bact: ribosomal protein L35
TIGR02827;RNR_anaer_Bdell: anaerobic ribonucleoside-triphosphate reductase
TIGR02828;TIGR02828: putative membrane fusion protein
TIGR02829;spore_III_AE: stage III sporulation protein AE
TIGR02830;spore_III_AG: stage III sporulation protein AG
TIGR02831;spo_II_M: stage II sporulation protein M
TIGR02832;spo_yunB: sporulation protein YunB
TIGR02833;spore_III_AB: stage III sporulation protein AB
TIGR02834;spo_ytxC: putative sporulation protein YtxC
TIGR02835;spore_sigmaE: RNA polymerase sigma-E factor
TIGR02836;spore_IV_A: stage IV sporulation protein A
TIGR02837;spore_II_R: stage II sporulation protein R
TIGR02838;spore_V_AC: stage V sporulation protein AC
TIGR02839;spore_V_AE: stage V sporulation protein AE
TIGR02840;spore_YtaF: putative sporulation protein YtaF
TIGR02841;spore_YyaC: putative sporulation protein YyaC
TIGR02842;CyoC: cytochrome o ubiquinol oxidase, subunit III
TIGR02843;CyoB: cytochrome o ubiquinol oxidase, subunit I
TIGR02844;spore_III_D: sporulation transcriptional regulator SpoIIID
TIGR02845;spore_V_AD: stage V sporulation protein AD
TIGR02846;spore_sigmaK: RNA polymerase sigma-K factor
TIGR02847;CyoD: cytochrome o ubiquinol oxidase subunit IV
TIGR02848;spore_III_AC: stage III sporulation protein AC
TIGR02849;spore_III_AD: stage III sporulation protein AD
TIGR02850;spore_sigG: RNA polymerase sigma-G factor
TIGR02851;spore_V_T: stage V sporulation protein T
TIGR02852;spore_dpaB: dipicolinic acid synthetase, B subunit
TIGR02853;spore_dpaA: dipicolinic acid synthetase, A subunit
TIGR02854;spore_II_GA: sigma-E processing peptidase SpoIIGA
TIGR02855;spore_yabG: sporulation peptidase YabG
TIGR02856;spore_yqfC: sporulation protein YqfC
TIGR02857;CydD: thiol reductant ABC exporter, CydD subunit
TIGR02858;spore_III_AA: stage III sporulation protein AA
TIGR02859;spore_sigH: RNA polymerase sigma-H factor
TIGR02860;spore_IV_B: stage IV sporulation protein B
TIGR02861;SASP_H: small acid-soluble spore protein, H-type
TIGR02862;spore_BofA: pro-sigmaK processing inhibitor BofA
TIGR02863;spore_sspJ: small, acid-soluble spore protein, SspJ family
TIGR02864;spore_sspO: small, acid-soluble spore protein O
TIGR02865;spore_II_E: stage II sporulation protein E
TIGR02866;CoxB: cytochrome c oxidase, subunit II
TIGR02867;spore_II_P: stage II sporulation protein P
TIGR02868;CydC: thiol reductant ABC exporter, CydC subunit
TIGR02869;spore_SleB: spore cortex-lytic enzyme
TIGR02870;spore_II_D: stage II sporulation protein D
TIGR02871;spore_ylbJ: sporulation integral membrane protein YlbJ
TIGR02872;spore_ytvI: sporulation integral membrane protein YtvI
TIGR02873;spore_ylxY: probable sporulation protein, polysaccharide deacetylase family
TIGR02874;spore_ytfJ: sporulation protein YtfJ
TIGR02875;spore_0_A: sporulation transcription factor Spo0A
TIGR02876;spore_yqfD: sporulation protein YqfD
TIGR02877;spore_yhbH: sporulation protein YhbH
TIGR02878;spore_ypjB: sporulation protein YpjB
TIGR02880;cbbX_cfxQ: CbbX protein
TIGR02881;spore_V_K: stage V sporulation protein K
TIGR02882;QoxB: cytochrome aa3 quinol oxidase, subunit I
TIGR02883;spore_cwlD: N-acetylmuramoyl-L-alanine amidase CwlD
TIGR02884;spore_pdaA: delta-lactam-biosynthetic de-N-acetylase
TIGR02885;spore_sigF: RNA polymerase sigma-F factor
TIGR02886;spore_II_AA: anti-sigma F factor antagonist
TIGR02887;spore_ger_x_C: germination protein, Ger(x)C family
TIGR02888;spore_YlmC_YmxH: sporulation protein, YlmC/YmxH family
TIGR02889;spore_YpeB: germination protein YpeB
TIGR02890;bacill_yteA: regulatory protein, yteA family
TIGR02891;CtaD_CoxA: cytochrome c oxidase, subunit I
TIGR02892;spore_yabP: sporulation protein YabP
TIGR02893;spore_yabQ: spore cortex biosynthesis protein YabQ
TIGR02894;DNA_bind_RsfA: transcription factor, RsfA family
TIGR02895;spore_sigI: RNA polymerase sigma-I factor
TIGR02896;spore_III_AF: stage III sporulation protein AF
TIGR02897;QoxC: cytochrome aa3 quinol oxidase, subunit III
TIGR02898;spore_YhcN_YlaJ: sporulation lipoprotein, YhcN/YlaJ family
TIGR02899;spore_safA: spore coat assembly protein SafA
TIGR02900;spore_V_B: stage V sporulation protein B
TIGR02901;QoxD: cytochrome aa3 quinol oxidase, subunit IV
TIGR02902;spore_lonB: ATP-dependent protease LonB
TIGR02903;spore_lon_C: ATP-dependent protease, Lon family
TIGR02904;spore_ysxE: spore coat protein YsxE
TIGR02905;spore_yutH: spore coat protein YutH
TIGR02906;spore_CotS: spore coat protein, CotS family
TIGR02907;spore_VI_D: stage VI sporulation protein D
TIGR02908;CoxD_Bacillus: cytochrome c oxidase, subunit IVB
TIGR02909;spore_YkwD: uncharacterized protein, YkwD family
TIGR02910;sulfite_red_A: sulfite reductase, subunit A
TIGR02911;sulfite_red_B: sulfite reductase, subunit B
TIGR02912;sulfite_red_C: sulfite reductase, subunit C
TIGR02913;HAF_rpt: probable extracellular repeat, HAF family
TIGR02914;EpsI_fam: EpsI family protein
TIGR02915;PEP_resp_reg: PEP-CTERM-box response regulator transcription factor
TIGR02916;PEP_his_kin: putative PEP-CTERM system histidine kinase
TIGR02917;PEP_TPR_lipo: putative PEP-CTERM system TPR-repeat lipoprotein
TIGR02918;TIGR02918: accessory Sec system glycosylation protein GtfA
TIGR02919;TIGR02919: accessory Sec system glycosyltransferase GtfB
TIGR02920;acc_sec_Y2: accessory Sec system translocase SecY2
TIGR02921;PEP_integral: PEP-CTERM family integral membrane protein
TIGR02922;TIGR02922: TIGR02922 family protein
TIGR02923;AhaC: ATP synthase A1, C subunit
TIGR02924;ICDH_alpha: isocitrate dehydrogenase
TIGR02925;cis_trans_EpsD: peptidyl-prolyl cis-trans isomerase, EpsD family
TIGR02926;AhaH: ATP synthase archaeal, H subunit
TIGR02927;SucB_Actino: 2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase
TIGR02928;TIGR02928: orc1/cdc6 family replication initiation protein
TIGR02929;anfG_nitrog: Fe-only nitrogenase, delta subunit
TIGR02930;vnfG_nitrog: V-containing nitrogenase, delta subunit
TIGR02931;anfK_nitrog: Fe-only nitrogenase, beta subunit
TIGR02932;vnfK_nitrog: V-containing nitrogenase, beta subunit
TIGR02933;nifM_nitrog: nitrogen fixation protein NifM
TIGR02934;nifT_nitrog: probable nitrogen fixation protein FixT
TIGR02935;TIGR02935: probable nitrogen fixation protein
TIGR02936;fdxN_nitrog: ferredoxin III, nif-specific
TIGR02937;sigma70-ECF: RNA polymerase sigma factor, sigma-70 family
TIGR02938;nifL_nitrog: nitrogen fixation negative regulator NifL
TIGR02939;RpoE_Sigma70: RNA polymerase sigma factor RpoE
TIGR02940;anfO_nitrog: Fe-only nitrogenase accessory protein AnfO
TIGR02941;Sigma_B: RNA polymerase sigma-B factor
TIGR02943;Sig70_famx1: RNA polymerase sigma-70 factor, TIGR02943 family
TIGR02944;suf_reg_Xantho: FeS assembly SUF system regulator
TIGR02945;SUF_assoc: FeS assembly SUF system protein
TIGR02946;acyl_WS_DGAT: acyltransferase, WS/DGAT/MGAT
TIGR02947;SigH_actino: RNA polymerase sigma-70 factor, TIGR02947 family
TIGR02948;SigW_bacill: RNA polymerase sigma-W factor
TIGR02949;anti_SigH_actin: anti-sigma factor, TIGR02949 family
TIGR02950;SigM_subfam: RNA polymerase sigma factor, SigM family
TIGR02951;DMSO_dmsB: dimethylsulfoxide reductase, chain B
TIGR02952;Sig70_famx2: RNA polymerase sigma-70 factor, TIGR02952 family
TIGR02953;penta_MxKDx: pentapeptide MXKDX repeat protein
TIGR02954;Sig70_famx3: RNA polymerase sigma-70 factor, TIGR02954 family
TIGR02955;TMAO_TorT: TMAO reductase system periplasmic protein TorT
TIGR02956;TMAO_torS: TMAO reductase sytem sensor TorS
TIGR02957;SigX4: RNA polymerase sigma-70 factor, TIGR02957 family
TIGR02959;SigZ: RNA polymerase sigma factor, SigZ family
TIGR02960;SigX5: RNA polymerase sigma-70 factor, TIGR02960 family
TIGR02961;allantoicase: allantoicase
TIGR02962;hdxy_isourate: hydroxyisourate hydrolase
TIGR02963;xanthine_xdhA: xanthine dehydrogenase, small subunit
TIGR02964;xanthine_xdhC: xanthine dehydrogenase accessory protein XdhC
TIGR02965;xanthine_xdhB: xanthine dehydrogenase, molybdopterin binding subunit
TIGR02966;phoR_proteo: phosphate regulon sensor kinase PhoR
TIGR02967;guan_deamin: guanine deaminase
TIGR02968;succ_dehyd_anc: succinate dehydrogenase, hydrophobic membrane anchor protein
TIGR02969;mam_aldehyde_ox: aldehyde oxidase
TIGR02970;succ_dehyd_cytB: succinate dehydrogenase, cytochrome b556 subunit
TIGR02971;heterocyst_DevB: ABC exporter membrane fusion protein, DevB family
TIGR02972;TMAO_torE: trimethylamine N-oxide reductase system, TorE protein
TIGR02973;nitrate_rd_NapE: periplasmic nitrate reductase, NapE protein
TIGR02974;phageshock_pspF: psp operon transcriptional activator
TIGR02975;phageshock_pspG: phage shock protein G
TIGR02976;phageshock_pspB: phage shock protein B
TIGR02977;phageshock_pspA: phage shock protein A
TIGR02978;phageshock_pspC: phage shock protein C
TIGR02979;phageshock_pspD: phage shock protein PspD
TIGR02980;SigBFG: RNA polymerase sigma-70 factor, sigma-B/F/G subfamily
TIGR02981;phageshock_pspE: phage shock operon rhodanese PspE
TIGR02982;heterocyst_DevA: ABC exporter ATP-binding subunit, DevA family
TIGR02983;SigE-fam_strep: RNA polymerase sigma-70 factor, sigma-E family
TIGR02984;Sig-70_plancto1: RNA polymerase sigma-70 factor, Planctomycetaceae-specific subfamily 1
TIGR02985;Sig70_bacteroi1: RNA polymerase sigma-70 factor, Bacteroides expansion family 1
TIGR02986;restrict_Alw26I: type II restriction endonuclease, Alw26I/Eco31I/Esp3I family
TIGR02987;met_A_Alw26: type II restriction m6 adenine DNA methyltransferase, Alw26I/Eco31I/Esp3I family
TIGR02988;YaaA_near_RecF: S4 domain protein YaaA
TIGR02989;Sig-70_gvs1: RNA polymerase sigma-70 factor, Rhodopirellula/Verrucomicrobium family
TIGR02990;ectoine_eutA: ectoine utilization protein EutA
TIGR02991;ectoine_eutB: ectoine utilization protein EutB
TIGR02992;ectoine_eutC: ectoine utilization protein EutC
TIGR02993;ectoine_eutD: ectoine utilization protein EutD
TIGR02994;ectoine_eutE: ectoine utilization protein EutE
TIGR02995;ectoine_ehuB: ectoine/hydroxyectoine ABC transporter solute-binding protein EhuB
TIGR02996;rpt_mate_G_obs: repeat-companion domain TIGR02996
TIGR02997;Sig70-cyanoRpoD: RNA polymerase sigma factor, cyanobacterial RpoD-like family
TIGR02998;RraA_entero: regulator of ribonuclease activity A
TIGR02999;Sig-70_X6: RNA polymerase sigma factor, TIGR02999 family
TIGR03000;plancto_dom_1: Planctomycetes uncharacterized domain TIGR03000
TIGR03001;Sig-70_gmx1: RNA polymerase sigma-70 factor, Myxococcales family 1
TIGR03002;outer_YhbN_LptA: lipopolysaccharide transport periplasmic protein LptA
TIGR03003;ectoine_ehuD: ectoine/hydroxyectoine ABC transporter, permease protein EhuD
TIGR03004;ectoine_ehuC: ectoine/hydroxyectoine ABC transporter, permease protein EhuC
TIGR03005;ectoine_ehuA: ectoine/hydroxyectoine ABC transporter, ATP-binding protein EhuA
TIGR03006;pepcterm_polyde: polysaccharide deacetylase family protein, PEP-CTERM locus subfamily
TIGR03007;pepcterm_ChnLen: polysaccharide chain length determinant protein, PEP-CTERM locus subfamily
TIGR03008;pepcterm_CAAX: CAAX prenyl protease-related protein
TIGR03009;plancto_dom_2: Planctomycetes uncharacterized domain TIGR03009
TIGR03010;sulf_tusC_dsrF: sulfur relay protein TusC/DsrF
TIGR03011;sulf_tusB_dsrH: sulfur relay protein TusB/DsrH
TIGR03012;sulf_tusD_dsrE: sulfur relay protein TusD/DsrE
TIGR03013;EpsB_2: sugar transferase, PEP-CTERM system associated
TIGR03014;EpsL: exopolysaccharide biosynthesis operon protein EpsL
TIGR03015;pepcterm_ATPase: putative secretion ATPase, PEP-CTERM locus subfamily
TIGR03016;pepcterm_hypo_1: uncharacterized protein, PEP-CTERM system associated
TIGR03017;EpsF: chain length determinant protein EpsF
TIGR03018;pepcterm_TyrKin: exopolysaccharide/PEP-CTERM locus tyrosine autokinase
TIGR03019;pepcterm_femAB: FemAB-related protein, PEP-CTERM system-associated
TIGR03020;EpsA: transcriptional regulator EpsA
TIGR03021;pilP_fam: type IV pilus biogenesis protein PilP
TIGR03022;WbaP_sugtrans: undecaprenyl-phosphate galactose phosphotransferase WbaP
TIGR03023;WcaJ_sugtrans: undecaprenyl-phosphate glucose phosphotransferase
TIGR03024;arch_PEF_CTERM: PEF-CTERM protein sorting domain
TIGR03025;EPS_sugtrans: exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase
TIGR03026;NDP-sugDHase: nucleotide sugar dehydrogenase
TIGR03027;pepcterm_export: putative polysaccharide export protein, PEP-CTERM sytem-associated
TIGR03028;EpsE: polysaccharide export protein EpsE
TIGR03029;EpsG: chain length determinant protein tyrosine kinase EpsG
TIGR03030;CelA: cellulose synthase catalytic subunit (UDP-forming)
TIGR03031;cas_csx12: CRISPR-associated protein Cas9/Csx12, subtype II-B/NMENI
TIGR03032;TIGR03032: TIGR03032 family protein
TIGR03033;phage_rel_nuc: putative phage-type endonuclease
TIGR03034;TIGR03034: conserved hypothetical protein
TIGR03035;trp_arylform: arylformamidase
TIGR03036;trp_2_3_diox: tryptophan 2,3-dioxygenase
TIGR03037;anthran_nbaC: 3-hydroxyanthranilate 3,4-dioxygenase
TIGR03038;PS_II_psbM: photosystem II reaction center protein PsbM
TIGR03039;PS_II_CP47: photosystem II chlorophyll-binding protein CP47
TIGR03041;PS_antenn_a_b: chlorophyll a/b binding light-harvesting protein
TIGR03042;PS_II_psbQ_bact: photosystem II protein PsbQ
TIGR03043;PS_II_psbZ: photosystem II core protein PsbZ
TIGR03044;PS_II_psb27: photosystem II protein Psb27
TIGR03045;PS_II_C550: cytochrome c-550
TIGR03046;PS_II_psbV2: photosystem II cytochrome PsbV2
TIGR03047;PS_II_psb28: photosystem II reaction center protein Psb28
TIGR03048;PS_I_psaC: photosystem I iron-sulfur protein PsaC
TIGR03049;PS_I_psaK: photosystem I reaction center subunit PsaK
TIGR03050;PS_I_psaK_plant: photosystem I reaction center PsaK
TIGR03051;PS_I_psaG_plant: photosystem I reaction center subunit V
TIGR03052;PS_I_psaI: photosystem I reaction center subunit VIII
TIGR03053;PS_I_psaM: photosystem I reaction center subunit XII
TIGR03054;photo_alph_chp1: putative photosynthetic complex assembly protein
TIGR03055;photo_alph_chp2: putative photosynthetic complex assembly protein 2
TIGR03056;bchO_mg_che_rel: putative magnesium chelatase accessory protein
TIGR03057;xxxLxxG_by_4: X-X-X-Leu-X-X-Gly heptad repeats
TIGR03058;rpt_csmH: chlorosome envelope protein H
TIGR03059;psaOeuk: photosystem I protein PsaO
TIGR03060;PS_II_psb29: photosystem II biogenesis protein Psp29
TIGR03061;pip_yhgE_Nterm: YhgE/Pip N-terminal domain
TIGR03062;pip_yhgE_Cterm: YhgE/Pip C-terminal domain
TIGR03063;srtB_target: sortase B cell surface sorting signal
TIGR03064;sortase_srtB: sortase, SrtB family
TIGR03065;srtB_sig_QVPTGV: sortase B signal domain, QVPTGV class
TIGR03066;Gem_osc_para_1: Gemmata obscuriglobus paralogous family TIGR03066
TIGR03067;Planc_TIGR03067: Planctomycetes uncharacterized domain TIGR03067
TIGR03068;srtB_sig_NPQTN: sortase B signal domain, NPQTN class
TIGR03069;PS_II_S4: photosystem II S4 domain protein
TIGR03070;couple_hipB: transcriptional regulator, y4mF family
TIGR03071;couple_hipA: HipA N-terminal domain
TIGR03072;release_prfH: putative peptide chain release factor H
TIGR03073;release_rtcB: release factor H-coupled RctB family protein
TIGR03074;PQQ_membr_DH: membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family
TIGR03075;PQQ_enz_alc_DH: PQQ-dependent dehydrogenase, methanol/ethanol family
TIGR03076;near_not_gcvH: chlamydial GcvH-like protein upstream region protein
TIGR03077;not_gcvH: glycine cleavage protein H-like protein
TIGR03078;CH4_NH3mon_ox_C: methane monooxygenase/ammonia monooxygenase, subunit C
TIGR03079;CH4_NH3mon_ox_B: methane monooxygenase/ammonia monooxygenase, subunit B
TIGR03080;CH4_NH3mon_ox_A: methane monooxygenase/ammonia monooxygenase, subunit A
TIGR03081;metmalonyl_epim: methylmalonyl-CoA epimerase
TIGR03082;Gneg_AbrB_dup: membrane protein AbrB duplication
TIGR03083;TIGR03083: uncharacterized Actinobacterial protein TIGR03083
TIGR03084;TIGR03084: TIGR03084 family protein
TIGR03085;TIGR03085: TIGR03085 family protein
TIGR03086;TIGR03086: TIGR03086 family protein
TIGR03087;stp1: sugar transferase, PEP-CTERM/EpsH1 system associated
TIGR03088;stp2: sugar transferase, PEP-CTERM/EpsH1 system associated
TIGR03089;TIGR03089: TIGR03089 family protein
TIGR03090;SASP_tlp: small, acid-soluble spore protein tlp
TIGR03091;SASP_sspK: small, acid-soluble spore protein K
TIGR03092;SASP_sspI: small, acid-soluble spore protein I
TIGR03093;SASP_sspL: small, acid-soluble spore protein L
TIGR03094;sulfo_cyanin: sulfocyanin
TIGR03095;rusti_cyanin: rusticyanin
TIGR03096;nitroso_cyanin: nitrosocyanin
TIGR03097;PEP_O_lig_1: probable O-glycosylation ligase, exosortase A-associated
TIGR03098;ligase_PEP_1: acyl-CoA ligase (AMP-forming), exosortase A-associated
TIGR03099;dCO2ase_PEP1: pyridoxal-dependent decarboxylase, exosortase A system-associated
TIGR03100;hydr1_PEP: exosortase A system-associated hydrolase 1
TIGR03101;hydr2_PEP: exosortase A system-associated hydrolase 2
TIGR03102;halo_cynanin: halocyanin domain
TIGR03103;trio_acet_GNAT: GNAT-family acetyltransferase TIGR03103
TIGR03104;trio_amidotrans: asparagine synthase family amidotransferase
TIGR03105;gln_synth_III: glutamine synthetase, type III
TIGR03106;trio_M42_hydro: hydrolase, peptidase M42 family
TIGR03107;glu_aminopep: glutamyl aminopeptidase
TIGR03108;eps_aminotran_1: exosortase A system-associated amidotransferase 1
TIGR03109;exosortase_1: exosortase A
TIGR03110;exosort_Gpos: exosortase family protein XrtG
TIGR03111;glyc2_xrt_Gpos1: putative glycosyltransferase, exosortase G-associated
TIGR03112;6_pyr_pter_rel: 6-pyruvoyl tetrahydropterin synthase-related domain
TIGR03113;exosortase_2: exosortase B
TIGR03114;cas_csf1: CRISPR type AFERR-associated protein Csf1
TIGR03115;cas_csf2: CRISPR type AFERR-associated protein Csf2
TIGR03116;cas_csf3: CRISPR type AFERR-associated protein Csf3
TIGR03117;cas_csf4: CRISPR type AFERR-associated DEAD/DEAH-box helicase Csf4
TIGR03118;PEPCTERM_chp_1: TIGR03118 family protein
TIGR03119;one_C_fhcD: formylmethanofuran--tetrahydromethanopterin N-formyltransferase
TIGR03120;one_C_mch: methenyltetrahydromethanopterin cyclohydrolase
TIGR03121;one_C_dehyd_A: formylmethanofuran dehydrogenase subunit A
TIGR03122;one_C_dehyd_C: formylmethanofuran dehydrogenase subunit C
TIGR03123;one_C_unchar_1: probable H4MPT-linked C1 transfer pathway protein
TIGR03124;citrate_citX: holo-ACP synthase CitX
TIGR03125;citrate_citG: triphosphoribosyl-dephospho-CoA synthase CitG
TIGR03126;one_C_fae: formaldehyde-activating enzyme
TIGR03127;RuMP_HxlB: 6-phospho 3-hexuloisomerase
TIGR03128;RuMP_HxlA: 3-hexulose-6-phosphate synthase
TIGR03129;one_C_dehyd_B: formylmethanofuran dehydrogenase subunit B
TIGR03130;malonate_delta: malonate decarboxylase acyl carrier protein
TIGR03131;malonate_mdcH: malonate decarboxylase, epsilon subunit
TIGR03132;malonate_mdcB: triphosphoribosyl-dephospho-CoA synthase MdcB
TIGR03133;malonate_beta: malonate decarboxylase, beta subunit
TIGR03134;malonate_gamma: malonate decarboxylase, gamma subunit
TIGR03135;malonate_mdcG: malonate decarboxylase holo-[acyl-carrier-protein] synthase
TIGR03136;malonate_biotin: Na+-transporting malonate decarboxylase, carboxybiotin decarboxylase subunit
TIGR03137;AhpC: peroxiredoxin
TIGR03138;QueF: queuine synthase
TIGR03139;QueF-II: 7-cyano-7-deazaguanine reductase
TIGR03140;AhpF: alkyl hydroperoxide reductase subunit F
TIGR03141;cytochro_ccmD: heme exporter protein CcmD
TIGR03142;cytochro_ccmI: cytochrome c-type biogenesis protein CcmI
TIGR03143;AhpF_homolog: putative alkyl hydroperoxide reductase F subunit
TIGR03144;cytochr_II_ccsB: cytochrome c-type biogenesis protein CcsB
